source,target,src_lang,tgt_lng
turbulence scale parameter,湍流尺度参数,en,zh
inertial sub-range,湍流惯性负区,en,zh
interconnection (for WTGS),互联(风力发电机组),en,zh
output power (for WTGS),输出功率(风力发电机组),en,zh
rated power (for WTGS),额定功率(风力发电机组),en,zh
maximum power (for WTGS),最大功率(风力发电机组),en,zh
network connection point (for WTGS),电网联接点(风力发电机组),en,zh
power collection system (for WTGS),电力汇集系统(风力发电机组),en,zh
site electrical facilities,风场电气设备,en,zh
power performance,功率特性,en,zh
net electric power output,净电力功率输出,en,zh
power coefficient,功率系数,en,zh
freestream wind speed,自由流风速,en,zh
swept area,扫掠面积,en,zh
hub height,轮毂高度,en,zh
measured power curve,测量功率曲线,en,zh
extrapolated power curve,外推功率曲线,en,zh
annual energy production,年发电量,en,zh
availability (for WTGS),可利用率(风力发电机组),en,zh
data set (for power performance measurement),数据组(功率特性测试),en,zh
accuracy (for WTGS),精度(风力发电机组),en,zh
uncertainty in measurement,测量误差,en,zh
method of bins,分组方法,en,zh
measurement period,测量周期,en,zh
measurement sector,测量扇区,en,zh
diurnal variations,日变化,en,zh
pitch angle,桨距角,en,zh
distance constant,距离常数,en,zh
test site,试验场地,en,zh
flow distortion,气流畸变,en,zh
obstacles,障碍物,en,zh
complex terrain,复杂地形地带,en,zh
wind break,风障,en,zh
sound pressure level,声压级,en,zh
sound level,声级 / 计权声压级,en,zh
weighted sound pressure level,声级 / 计权声压级,en,zh
apparent sound power level,视在声功率级,en,zh
directivity (for WTGS),指向性(风力发电机组),en,zh
tonality,音值,en,zh
acoustic reference wind speed,声的基准风速,en,zh
standardized wind speed,标准风速,en,zh
reference height,基准高度,en,zh
reference roughness length,基准粗糙长度,en,zh
reference distance,基准距离,en,zh
grazing angle,掠射角,en,zh
automatic fire protection system for wind turbines,风力发电机组自动消防系统,en,zh
automatic fire alarm system,火灾自动报警系统,en,zh
fire alarm control unit,火灾报警控制器,en,zh
fire control and indicating equipment,火灾报警控制器,en,zh
image type fire detector,图像型火灾探测器,en,zh
local application extinguishing way,局部应用灭火方式,en,zh
wind power,风力发电,en,zh
greenhouse gas,温室气体,en,zh
GHG,温室气体,en,zh
carbon dioxide equivalent,二氧化碳当量,en,zh
CO2e,二氧化碳当量,en,zh
carbon footprint of a product,产品碳足迹,en,zh
CFP,产品碳足迹,en,zh
life cycle,生命周期,en,zh
system boundary,系统边界,en,zh
functional unit,功能单位,en,zh
activity data,活动数据,en,zh
on-grid energy,上网电量,en,zh
cut-off criteria,取舍准则,en,zh
allocation,分配,en,zh
environmental conditions,环境条件,en,zh
yaw system,偏航系统,en,zh
braking system,制动系统,en,zh
pitch system,变桨距系统,en,zh
annual availability,年可利用率,en,zh
double-fed converter,双馈式变流器,en,zh
generator-side converter,电机侧变流器,en,zh
grid-side converter,电网侧变流器,en,zh
DC link,直流环节,en,zh
rated power of converter,变流器额定功率,en,zh
total power factor,总功率因数,en,zh
efficiency of converter,变流器效率,en,zh
full-power converter,全功率变流器,en,zh
grid-side rated voltage,电网侧额定电压,en,zh
grid-side rated frequency,电网侧额定频率,en,zh
grid-side rated current,电网侧额定电流,en,zh
overload capability,过载能力,en,zh
total harmonic distortion,总谐波畸变率,en,zh
THD,总谐波畸变率,en,zh
drive train,传动链,en,zh
test rig foundation,试验平台基础,en,zh
support structure,安装支架,en,zh
driving system,驱动系统,en,zh
torque pulsation,转矩脉动,en,zh
distributed wind energy project,分散式风力发电项目,en,zh
distributed wind energy generation systems,分散式风力发电机组,en,zh
vortex induced vibration,涡激振动,en,zh
VIV,涡激振动,en,zh
tower,塔架,en,zh
tower section,塔段,en,zh
longitudinal weld,纵焊缝,en,zh
tube,筒节,en,zh
circumferential weld,环焊缝,en,zh
concrete tower,混凝土塔架,en,zh
doubly-fed induction generator,双馈异步发电机,en,zh
rated condition,额定工况,en,zh
operating speed range,工作转速范围,en,zh
rated rotation speed,额定转速,en,zh
ultrasonic pulse-echo contact testing,接触式超声脉冲反射法,en,zh
penetrating method,穿透法,en,zh
phased-array ultrasonic testing,相控阵超声波检测,en,zh
total focusing method,全聚焦,en,zh
wind turbine blade bonding area,风轮叶片粘接区,en,zh
wind turbine blade non-bonding area,风轮叶片非粘接区,en,zh
effective bonding area,有效粘接区,en,zh
ductile iron,球墨铸铁,en,zh
nodular graphite iron,球墨铸铁,en,zh
spheroidal graphite cast iron,球墨铸铁,en,zh
solid solution strengthened,固溶强化,en,zh
solid solution strengthened ferrite spheroidal graphite cast iron,固溶强化铁素体球墨铸铁,en,zh
dross,浮渣,en,zh
side-by-side cast sample,并排试块,en,zh
wind turbine fault,机组故障,en,zh
sub-health,亚健康,en,zh
reliability,可靠性,en,zh
maintenance and repair,维修,en,zh
repair,修理,en,zh
maintenance,维护,en,zh
smart wind farm,智能风力发电场,en,zh
control system of wind turbine,风力发电机组控制系统,en,zh
supervisory control and data acquisition system of wind farm,风力发电场监控系统,en,zh
smart terminal of wind turbine,风力发电机组智能终端,en,zh
wind energy conversion system,风力系统,en,zh
WECS,风力系统,en,zh
automatic generation control,自动发电控制,en,zh
AGC,自动发电控制,en,zh
automatic voltage control,自动无功电压控制,en,zh
AVC,自动无功电压控制,en,zh
sequence of event,事件顺序记录,en,zh
SOE,事件顺序记录,en,zh
data acquisition system,数据采集系统,en,zh
regional centralized control system,区域集控系统,en,zh
wind turbine main bearing,风力发电机组主轴轴承,en,zh
yaw bearing,偏航轴承,en,zh
pitch bearing,变桨轴承,en,zh
post-evaluation,后评价,en,zh
retrofitting,改造,en,zh
reanalysis of meteorological data,再分析气象数据,en,zh
nacelle wind speed,机舱风速,en,zh
nacelle transfer function,机舱传递函数,en,zh
power curve conformance,功率曲线符合度,en,zh
actual energy production,实际发电量,en,zh
potential energy production,潜在发电量,en,zh
lost production,损失发电量,en,zh
design theoretical energy production,设计理论发电量,en,zh
levelized cost of energy,平准化度电成本,en,zh
supervisory control and data acquisition,数据采集与监控系统,en,zh
SCADA,数据采集与监控系统,en,zh
baseline evaluation period,基准评估期,en,zh
optimized evaluation period,优化评估期,en,zh
test turbines,实验机组,en,zh
reference turbines,参考机组,en,zh
ring forgings,环形锻件,en,zh
nominal thickness of ring forgings,环形锻件公称厚度,en,zh
inspection batch,炉批次,en,zh
sampling direction,取样方向,en,zh
radial forging ratio,径向锻造比,en,zh
profile rolling,仿形轧制,en,zh
submarine cable,海底电缆,en,zh
method of safety checklist,安全检查表,en,zh
technical transformation,技改升级,en,zh
short-circuit current,短路电流,en,zh
recycle,回收,en,zh
disassembly,拆解,en,zh
treatment,处理,en,zh
disposal,处置,en,zh
physical method,物理方法,en,zh
crushing method,粉碎法,en,zh
separation method,分离法,en,zh
chemical method,化学方法,en,zh
pyrolysis method,热解法,en,zh
dissolution method,溶解法,en,zh
recovery rate,回收利用率,en,zh
rated voltage,额定电压,en,zh
routine tests,例行试验,en,zh
sample tests,抽样试验,en,zh
type tests,型式试验,en,zh
electric pitch system,电动变桨距系统,en,zh
hydraulic pitch system,液压变桨距系统,en,zh
multi-driver pitch system,多驱变桨距系统,en,zh
pitch drive equipment,变桨距驱动装置,en,zh
pitch actuating equipment,变桨距执行装置,en,zh
the maximum pitch rate,最大变桨距速率,en,zh
feathering,顺桨,en,zh
fine,开桨,en,zh
safety position,安全位置,en,zh
pitch system target position error,变桨距系统定位误差,en,zh
pitch system following error,变桨距系统跟随误差,en,zh
backup power source,后备动力源,en,zh
safe-chain,安全链,en,zh
gear steel,齿轮钢,en,zh
high-strength threaded fasteners,高强螺纹连接副,en,zh
tension tightening method,拉伸紧固法,en,zh
corrosion environment,腐蚀环境,en,zh
corrosion environment control,腐蚀环境控制,en,zh
micro positive pressure seal,微正压密封,en,zh
volatile corrosion inhibitor,气相缓蚀剂,en,zh
VCI,气相缓蚀剂,en,zh
deleterious gas,有害气体,en,zh
salt fog,盐雾,en,zh
ocean wave,海浪,en,zh
ocean current,海流,en,zh
salinity,盐度,en,zh
corrosion,腐蚀,en,zh
relative humidity,相对湿度,en,zh
lightning current peak value,雷电流峰值,en,zh
settlement of salt mist,盐雾沉降量,en,zh
typical wind turbine,典型机组,en,zh
typhoon,台风,en,zh
gust factor,阵风系数,en,zh
green demolition,绿色拆除,en,zh
solid waste,固体废物,en,zh
hazardous waste,危险废物,en,zh
floating offshore wind turbine systems,漂浮式海上风力发电机组,en,zh
FOWTS,漂浮式海上风力发电机组,en,zh
floating substructure,漂浮式基础结构,en,zh
station-keeping system,锚定系统,en,zh
mooring system,系泊系统,en,zh
dynamic cable,动态海缆,en,zh
integrated analysis,一体化计算,en,zh
pneumatic braking device,气动制动装置,en,zh
mechanical braking device,机械制动装置,en,zh
normal braking,正常制动,en,zh
quick braking,快速制动,en,zh
emergency braking,紧急制动,en,zh
tower structure,塔架结构,en,zh
safety monitoring,安全监测,en,zh
monitoring plan,监测方案,en,zh
monitoring instrument and equipment,监测仪器设备,en,zh
monitoring system,监测系统,en,zh
real-time monitoring,实时监测,en,zh
early warning threshold,预警阈值,en,zh
modal parameter identification,模态参数识别,en,zh
alert level,预警等级,en,zh
integrated commissioning,联合调试,en,zh
construction phase,建设期,en,zh
operation phase,营运期,en,zh
integrated modeling,一体化建模,en,zh
integrated load analysis,一体化载荷分析,en,zh
integrated support structure design,一体化支撑结构设计,en,zh
robustness,鲁棒性,en,zh
radiative damping,辐射阻尼,en,zh
support structure,支撑结构,en,zh
elastic rubber parts,橡胶弹性元件,en,zh
main shaft,主轴,en,zh
assembling,装配,en,zh
installation,安装,en,zh
busbar trunking systems for wind power (compact insulated busway),风力发电导电轨(密集型母线槽),en,zh
hydraulic system,液压系统,en,zh
servo directional valve,伺服方向阀,en,zh
proportional directional valve,比例方向阀,en,zh
structural steel plate,结构钢板,en,zh
lifting appliance,电梯,en,zh
pitch bearing rubber seals,偏航轴承及变桨轴承橡胶密封圈,en,zh
III type environmental declaration,III型环境声明,en,zh
input,输入,en,zh
output,输出,en,zh
life cycle assessment,生命周期评价,en,zh
LCA,生命周期评价,en,zh
life cycle inventory analysis,生命周期清单分析,en,zh
LCI,生命周期清单分析,en,zh
product category rules,产品种类规则,en,zh
PCR,产品种类规则,en,zh
global warming potential,全球变暖潜势,en,zh
GWP,全球变暖潜势,en,zh
co-product,共生产品,en,zh
reference flow,基准线,en,zh
characterization factor,特征化因子,en,zh
primary data,原始数据,en,zh
secondary data,次级数据,en,zh
hoisting of wind turbine,风力发电机组吊装,en,zh
safety technical regulation,安全技术规程,en,zh
effective visibility,能见度,en,zh
main engine assembly unit,主机部件,en,zh
wind turbines generator systems under high altitude,高海拔型风力发电机组,en,zh
the difference of temperature in one day,昼夜温差,en,zh
low-voltage electric equipment,低压电气设备,en,zh
high-voltage electric equipment,高压电气设备,en,zh
dew-point temperature,露点温度,en,zh
ultimate sink,热沉,en,zh
forced cooling,强迫冷却,en,zh
thermal current density,热流密度,en,zh
operation,运行,en,zh
first maintenance,首次维护,en,zh
semi-annual maintenance,半年维护,en,zh
annual maintenance,全年维护,en,zh
work sheet,工作记录单,en,zh
flaw,缺陷,en,zh
consumables,耗品,en,zh
spare parts,备件,en,zh
NPL-RSLS,无防护唇旋转轴唇形密封圈,en,zh
PL-RSLS,带防护唇旋转轴唇形密封圈,en,zh
SWR,异形防尘圈,en,zh
FV,端面V形圈,en,zh
SFV,单体型端面V形圈,en,zh
AFV,装配型端面V形圈,en,zh
grid adaptability of wind turbine,风电机组电网适应性,en,zh
point of connection of wind turbine/point of test of wind turbine,并网点/测试点,en,zh
no-load testing,空载测试,en,zh
on-load testing,负载测试,en,zh
inertia response of wind turbine,风电机组惯量响应,en,zh
active power-frequency regulation coefficient,有功调频系数,en,zh
the condition of going to sea,出海条件,en,zh
captain responsibility,船长责任,en,zh
fixed foundation,固定式基础,en,zh
windfarm operation and maintenance vessel,风电运维船,en,zh
windfarm transport vessel,风电交通船,en,zh
wind force,风力,en,zh
rotor,风轮,en,zh
blade,叶片,en,zh
blade connection part,叶片连接件,en,zh
rotor shaft,风轮轴,en,zh
generator,发电机,en,zh
operation temperature,运行温度,en,zh
survival temperature,生存温度,en,zh
spinner cover,整流罩,en,zh
nacelle cover,机舱罩,en,zh
air insulation busbar trunking systems for wind power generation,空气型风力发电导电轨,en,zh
enclosure,外壳,en,zh
live part,带电部件,en,zh
exposed conductive part,裸露导电部件,en,zh
protective conductor,保护导体,en,zh
neutral conductor,中性导体,en,zh
PEN conductor,中性保护导体,en,zh
clearance,电气间隙,en,zh
creepage distance,爬电距离,en,zh
altitude classification for products of electric and electronic,海拔分级,en,zh
normal wind-power generation equipments,常规型风力发电设备,en,zh
wind-power generation equipments for plateau,高原型风力发电设备,en,zh
direct-drive,直驱,en,zh
direct-drive permanent magnet type wind turbine generator system,直驱永磁风力发电机组,en,zh
operating speed range,运行转速范围,en,zh
maximum operating speed,最大运行转速,en,zh
minimum operating speed,最小运行转速,en,zh
standard wind turbine,标准型机组,en,zh
normal temperature type wind turbine,常温型机组,en,zh
low temperature type wind turbine,低温型机组,en,zh
high altitude type wind turbine,高海拔型机组,en,zh
test-bench,试验台,en,zh
engineering acceptance,工程验收,en,zh
booster stations start-up,升压站启动,en,zh
check and acceptance from the build to the operation,移交生产验收,en,zh
variable speed constant frequency wind turbine,变速恒频风力发电机组,en,zh
variable speed constant frequency device,变速恒频装置,en,zh
test in production location,台位试验,en,zh
towing test,拖动试验,en,zh
acceptance for installation,安装验收,en,zh
acceptance for commissioning,试运行验收,en,zh
acceptance for warranty period,质量保证期验收,en,zh
commissioning testing,调试,en,zh
pre-acceptance,预验收,en,zh
final inspection and acceptance,最终验收,en,zh
leakage,泄漏,en,zh
charge control,充电控制,en,zh
rated input current,额定输入电流,en,zh
dump load,卸荷,en,zh
mechanical brake,机械制动,en,zh
non-control rectifier,不控整流,en,zh
PWM rectifier,PWM整流,en,zh
maximum power point tracking,最大功率点跟踪,en,zh
conversion efficiency,转换效率,en,zh
field test,现场试验,en,zh
test on bed,台架试验,en,zh
operation management,运行管理,en,zh
safety concept,安全方案,en,zh
failure,失效,en,zh
control cabinet,控制柜,en,zh
redundancy,冗余技术,en,zh
fail-safe,失效-安全,en,zh
clearance (fault),排除故障,en,zh
external power supply,外部动力源,en,zh
locking device,锁定装置,en,zh
activation rotational speed,临界转速,en,zh
maximum rotational speed,最大转速,en,zh
over power,过载功率(风力机),en,zh
activation power,临界功率(风力机),en,zh
short-term cut-out wind speed,短时切出风速,en,zh
work at heights,高处作业,en,zh
personal protective equipment,个体防护装备,en,zh
fall arrest systems,坠落悬挂安全带,en,zh
lanyard for fall arrest systems,坠落悬挂用安全绳,en,zh
runaway,飞车,en,zh
escape,高处逃生,en,zh
descent rescue device,营救逃生缓降器,en,zh
rescue,救援,en,zh
emergency professionals,专业救援人员,en,zh
excitation system,励磁系统,en,zh
electric excitation system,电励磁系统,en,zh
electric excitation direct-drive wind turbine,电励磁直驱风力发电机组,en,zh
constant excitation,恒定励磁,en,zh
variable excitation,变励磁,en,zh
de-excitation system,灭磁系统,en,zh
irreversible magnetizing loss,不可逆失磁,en,zh
efficiency curve,效率曲线,en,zh
lightning protection system,防雷装置,en,zh
external lightning protection system,外部防雷装置,en,zh
internal lightning protection system,内部防雷装置,en,zh
surge protection device,电涌保护器,en,zh
equipotential bonding,等电位连接,en,zh
air-termination system,接闪器,en,zh
down conductor,引下线,en,zh
earthing resistance,接地电阻,en,zh
lightning protection level,雷电防护水平,en,zh
coordinated SPD protection,协调配合的SPD装置,en,zh
earth electric rode,接地体,en,zh
earth-termination system,接地装置,en,zh
mono-pile foundation,单桩基础,en,zh
multi-pile cap foundation,多桩承台基础,en,zh
jacket foundation,导管架群桩基础,en,zh
gravity foundation,重力式基础,en,zh
bucket foundation,负压筒型基础,en,zh
floating foundation,浮式基础,en,zh
co-directional (wind and waves),同向(风和波),en,zh
current,水流,en,zh
design wave,设计波浪,en,zh
designer,设计方,en,zh
extreme significant wave height,极端有效波高,en,zh
extreme wave height,极端波高,en,zh
fast ice cover,固定冰盖,en,zh
fetch,风距,en,zh
foundation,基础,en,zh
highest astronomical tide,最高天文潮,en,zh
hummocked ice,冰丘,en,zh
ice floe,浮冰,en,zh
icing,结冰,en,zh
load effect,载荷效应,en,zh
lowest astronomical tide,最低天文潮,en,zh
manufacturer,制造商,en,zh
marine conditions,海洋条件,en,zh
marine growth,海生物,en,zh
mean sea level,平均海平面,en,zh
mean zero crossing period,平均跨零周期,en,zh
metocean,海洋气象,en,zh
multi-directional (wind and/or wave),多方向(风和/或海浪),en,zh
offshore wind turbine,海上风力发电机组,en,zh
offshore wind turbine site,海上风力发电场场址,en,zh
pile penetration,桩贯入深度,en,zh
reference period,参考周期,en,zh
refraction,绕射,en,zh
residual currents,余流,en,zh
rotor-nacelle assembly,风轮-机舱组件,en,zh
sea floor,海底,en,zh
sea floor slope,海底坡度,en,zh
sea state,海况,en,zh
seabed,海床,en,zh
seabed movement,海床运动,en,zh
scour,冲刷,en,zh
significant wave height,有效波高,en,zh
splash zone,飞溅区,en,zh
still water level,静水位,en,zh
storm surge,风暴潮,en,zh
sub-structure,下部结构,en,zh
swell,涌浪,en,zh
tidal current,潮流,en,zh
tidal range,潮差,en,zh
tides,潮汐,en,zh
tsunami,海啸,en,zh
uni-directional (wind and/or waves),单向(风和/或浪),en,zh
water depth,水深,en,zh
wave crest elevation,波峰高度,en,zh
wave direction,波向,en,zh
wave height,波高,en,zh
wave period,波浪周期,en,zh
wave spectral peak frequency,波谱峰值频率,en,zh
wave spectrum,波谱,en,zh
wave steepness,波陡,en,zh
weather downtime,天气性停工,en,zh
weather window,天气性工作期,en,zh
wind profile - wind shear law,风廓线——风切变公式,en,zh
zero up-crossing wave,上跨零点波,en,zh
extensible,可扩展性,en,zh
language,语言,en,zh
instance,实例,en,zh
project,项目,en,zh
backwards compatible,向后兼容,en,zh
language version,语言版本,en,zh
control object,控制对象,en,zh
actor,参与者,en,zh
mandatory,强制,en,zh
optional,可选的,en,zh
conditional,条件的,en,zh
frequency analysis,频域分析,en,zh
scalar value,标量值,en,zh
time waveform,时域波形,en,zh
root mean square value,均方根值,en,zh
transformer for wind turbine applications,风力发电用变压器,en,zh
tower,塔筒,en,zh
effective cooling medium,有效冷却介质,en,zh
compartmentalized type transformer,箱式变压器,en,zh
sealed transformer,密封式变压器,en,zh
routine samples test,例行抽样试验,en,zh
declared sound power level,公称的声功率等级,en,zh
design limit,设计极限,en,zh
design situation,设计状态,en,zh
design wind speed,设计风速,en,zh
emergency shutdown,紧急关机,en,zh
environmental condition,环境条件,en,zh
external condition,外部条件,en,zh
fail-safe,失效保险,en,zh
furling,折尾,en,zh
horizontal axis wind turbine,水平轴风力发电机组,en,zh
hub,轮毂,en,zh
idling,空转,en,zh
load case,载荷工况,en,zh
maximum output current,最大输出电流,en,zh
maximum output power,最大输出功率,en,zh
maximum output voltage,最大输出电压,en,zh
noise label,噪声标签,en,zh
normal external conditions,正常外部条件,en,zh
normal operation,正常运行,en,zh
normal shutdown,正常关机,en,zh
operating limits,运行极限,en,zh
overspeed control,超速控制,en,zh
parked wind turbine,风力发电机组停机,en,zh
power form,功率型式,en,zh
power output,功率输出,en,zh
protection system,保护系统,en,zh
rated power,额定功率,en,zh
rated current,额定电流,en,zh
rated wind speed,额定风速,en,zh
reduced speed,减速(准备停车),en,zh
reference annual energy,参考年发电量,en,zh
reference power,参考功率,en,zh
resonance,共振,en,zh
rotor centre,风轮中心,en,zh
rotor speed,风轮转速,en,zh
scheduled maintenance,定期维护,en,zh
shutdown,关机,en,zh
survival wind speed (deprecated),安全风速(不推荐使用),en,zh
Small Wind Turbine (SWT),小型风力发电机组,en,zh
turbine test class,风力发电机组测试等级,en,zh
unscheduled maintenance,不定期维护,en,zh
vertical axis wind turbine,垂直轴风力发电机组,en,zh
wind profile- wind shear law,风廓线-风切变律,en,zh
yaw rate,偏航速率,en,zh
yaw misalignment,偏航误差,en,zh
blocking,锁定,en,zh
brake,制动器,en,zh
characteristic value,特征值,en,zh
complex terrain,复杂地形,en,zh
control functions,控制功能,en,zh
control system,控制系统,en,zh
dormant failure,潜在故障,en,zh
electrical power network,电网,en,zh
emergency stop,紧急停机,en,zh
external conditions,外部条件,en,zh
extreme wind speed,极大风速,en,zh
fail-safe,失效安全,en,zh
inertial sub-range,惯性副区,en,zh
medium wind turbine,中型风力发电机组,en,zh
network connection point,电网连接点,en,zh
network loss,电网掉电,en,zh
performance level (PL),性能等级,en,zh
power collection system,电力汇集系统,en,zh
primary layer protection function,主层保护功能,en,zh
protection functions,保护功能,en,zh
resistance partial safety factor,抗力局部安全系数,en,zh
rotationally sampled wind velocity,旋转采样矢量风速,en,zh
safe-life,安全寿命,en,zh
safety integrity level (SIL),安全完整性等级,en,zh
scheduled maintenance,计划维护,en,zh
secondary layer protection function,辅助层保护功能,en,zh
site data,场址数据,en,zh
survival wind speed,生存风速,en,zh
turbulence standard deviation,湍流标准偏差,en,zh
unscheduled maintenance,非计划维护,en,zh
wind power station,风力发电站,en,zh
wind profile,风廓线,en,zh
wind turbine generator system (WTGS),风力发电机组,en,zh
wind turbine site,风力发电机组场址,en,zh
wind velocity,矢量风速,en,zh
wind turbine electrical system,风力发电机组电气系统,en,zh
wind turbine terminals,风力发电机组终端,en,zh
data set,数据组,en,zh
maximum power,最大功率,en,zh
method of bins,区间法,en,zh
net active electric power,净有功功率,en,zh
normal maintenance,正常维护,en,zh
obstacle,障碍物,en,zh
rotor equivalent wind speed,风轮等效风速,en,zh
special maintenance,专项维护,en,zh
standard uncertainty,标准不确定度,en,zh
test site,测试场地,en,zh
uncertainty in measurement,测量不确定度,en,zh
wind measurement equipment,测风设备,en,zh
wind veer,风转向,en,zh
bearing manufacturer,轴承制造商,en,zh
certification body,认证机构,en,zh
characteristic load,特征载荷,en,zh
design lifetime,设计寿命,en,zh
design load,设计载荷,en,zh
double-row bearings,双列轴承,en,zh
equivalent load,等效载荷,en,zh
extreme load,极限载荷,en,zh
gearbox manufacturer,齿轮箱制造商,en,zh
interface,接口,en,zh
load reserve factor (LRF),载荷裕度系数,en,zh
local failure,局部失效,en,zh
locating bearing,定位轴承,en,zh
lubricant supplier,润滑剂供应商,en,zh
maximum operating load,最大运行载荷,en,zh
non-locating bearing,浮动端轴承,en,zh
paired bearings,配对轴承,en,zh
rainflow matrices,雨流矩阵,en,zh
time series,时间序列,en,zh
wind turbine manufacturer,风力发电机组制造商,en,zh
wind turbine owner,风力发电机组业主,en,zh
continuous operation,连续运行,en,zh
disconnection time,脱网时间,en,zh
flicker coefficient for continuous operation,连续运行时的闪变系数,en,zh
flicker step factor,闪变阶跃系数,en,zh
maximum measured power,最大测量功率,en,zh
network impedance phase angle,电网阻抗相角,en,zh
operational mode,运行模式,en,zh
output power,输出功率,en,zh
point of common coupling (PCC),公共连接点,en,zh
nominal apparent power,额定视在功率,en,zh
nominal current,额定电流,en,zh
nominal active power,额定有功功率,en,zh
reactive power capability,无功功率能力,en,zh
nominal wind speed,额定风速,en,zh
standstill,停机,en,zh
start-up,启动,en,zh
short-circuit ratio (SCR),短路比,en,zh
switching operation,切换操作,en,zh
voltage change factor,电压变动系数,en,zh
wind turbine (WT),风力发电机组,en,zh
wind turbine terminals,风力发电机组输出端,en,zh
voltage dip,电压跌落,en,zh
voltage swell,电压升高,en,zh
fault ride through (FRT),故障穿越,en,zh
undervoltage ride through (UVRT),低电压穿越,en,zh
overvoltage ride through (OVRT),高电压穿越,en,zh
phasor,相量,en,zh
positive sequence component of the fundamental,基波正序分量,en,zh
negative sequence component of the fundamental,基波负序分量,en,zh
zero-sequence component of the fundamental,基波零序分量,en,zh
unbalance factor,不平衡度,en,zh
control interface,控制接口,en,zh
wind power plant,风力发电场,en,zh
assessor,评审员,en,zh
time-series,时间序列,en,zh
short-circuit apparent power,短路容量,en,zh
percentile,百分位数,en,zh
synthetic inertia,综合惯量,en,zh
static error,静态误差,en,zh
response time,响应时间,en,zh
settling time,稳定时间,en,zh
rise time,上升时间,en,zh
overshoot,超调量,en,zh
reaction time,反应时间,en,zh
ramp-down time,下降时间,en,zh
recovery time,恢复时间,en,zh
steady state,稳态,en,zh
tolerance band,误差带,en,zh
start of event,事件开始时刻,en,zh
wind turbine product platform,风力发电机组产品平台,en,zh
component test,部件测试,en,zh
sub-system,子系统,en,zh
sub-system test,子系统测试,en,zh
available active power,可用有功功率,en,zh
power factor,功率因数,en,zh
ramp rate,斜坡速率,en,zh
reference value,参考值,en,zh
active power bin,有功功率区间,en,zh
fictitious grid,虚拟电网,en,zh
field measurement,现场测量,en,zh
field test,现场测试,en,zh
wind speed bin,风速区间,en,zh
apparent sound power level with reference to wind speed at 10 m height,10m基准高度处风速对应的视在声功率级,en,zh
audibility criterion,可听度判定标准,en,zh
A-weighted sound pressure levels,A计权声压级,en,zh
C-weighted sound pressure levels,C计权声压级,en,zh
bin centre,风速区间中心,en,zh
inclination angle,掠射角,en,zh
measured wind speed at height Z,Z高度的测量风速,en,zh
measured nacelle wind speed at hub height,轮毂高度的测量机舱风速,en,zh
normalised nacelle wind speed at hub height,轮毂高度的规格化机舱风速,en,zh
normalized wind speed derived from power curve,由功率曲线导出的规格化风速,en,zh
normalized wind speed at hub height during background noise measurements,背景噪声测量时段的轮毂高度规格化风速,en,zh
normalized wind speed at hub height,轮毂高度的规格化风速,en,zh
normalized wind speed at height Z,Z高度的规格化风速,en,zh
